,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@gregg_re Lmaoooo,3195,102,2023-04-18 15:26:02+00:00
1,elonmusk,@GRDecter 🥜,27760,1256,2023-04-18 15:22:22+00:00
2,elonmusk,@PirateWires You could charge more than $2!,4118,289,2023-04-18 15:01:42+00:00
3,elonmusk,@engineers_feed Crazy that this is still so different in 2023,53650,2330,2023-04-18 15:00:52+00:00
4,elonmusk,@EndWokeness Where is the manifesto? The Unabomber got his published …,69958,10151,2023-04-18 15:00:02+00:00
5,elonmusk,"@JonErlichman In the fairly near future, internal combustion engine vehicles will be viewed in the same way that we view external combustion engine vehicles (steam engines)!",29566,2803,2023-04-18 14:02:52+00:00
6,elonmusk,@SciGuySpace Orbital rockets are a hard problem,11466,796,2023-04-18 13:57:20+00:00
7,elonmusk,@Teslaconomics Intense work schedule,51814,2295,2023-04-18 06:55:35+00:00
8,elonmusk,@0xgaut 🔥🔥,30728,1026,2023-04-18 06:53:10+00:00
9,elonmusk,@dogeofficialceo 🤣,9958,485,2023-04-18 06:29:19+00:00
10,elonmusk,@Not_the_Bee Sigh,37307,1715,2023-04-18 05:38:13+00:00
11,elonmusk,@IncompetentHum3 !,38590,3851,2023-04-18 05:35:54+00:00
12,elonmusk,@farzyness 🔥🔥,18146,645,2023-04-18 04:47:37+00:00
13,elonmusk,@BillyM2k @Liv_Boeree 🤣,3958,201,2023-04-18 04:44:41+00:00
14,elonmusk,@bennyjohnson Wait for it …,58021,3656,2023-04-18 04:01:02+00:00
15,elonmusk,@KonstantinKisin True,26874,1606,2023-04-18 03:52:57+00:00
16,elonmusk,@MrAndyNgo @REI One store after another shutting down,63740,5451,2023-04-18 03:45:50+00:00
17,elonmusk,@KanekoaTheGreat @joshrogin @glennbeck Large ships are fundamentally vulnerable to ballistic (hypersonic) missiles,16916,1599,2023-04-18 03:43:25+00:00
18,elonmusk,@KanekoaTheGreat The Golden Rule,4961,451,2023-04-18 03:37:17+00:00
19,elonmusk,@KanekoaTheGreat 🧐,26631,1866,2023-04-18 03:35:48+00:00
20,elonmusk,@TRHLofficial What’s he talking about and why is it sponsored by Erik’s son?,124104,9067,2023-04-18 03:32:17+00:00
21,elonmusk,@greg_price11 Umm … no,52407,2889,2023-04-18 03:28:54+00:00
22,elonmusk,@alifarhat79 😳,3592,107,2023-04-18 03:10:54+00:00
23,elonmusk,@SpaceX Perhaps inevitable,34797,1543,2023-04-18 03:10:16+00:00
24,elonmusk,Fun times 🤩,173578,11570,2023-04-18 02:44:41+00:00
25,elonmusk,@teslaownersSV This will be great. Coming soon. Maximum protection for users.,47457,3426,2023-04-18 02:43:04+00:00
26,elonmusk,"@Anc_Aesthetics Sorry about this. Yes, subscribe now via web or wait a few days for Apple to approve. 

Note: creator gets ~92% of subscription for web subscribers (Stripe &amp; CC fees are ~8%), but only 70% on iOS/Android. 

Twitter keeps nothing. All funds we receive go to the content creator.",13328,1338,2023-04-18 02:40:55+00:00
27,elonmusk,@cb_doge Yup,9988,491,2023-04-18 02:35:58+00:00
28,elonmusk,"@stevenmarkryan Takes a few days for Apple to approve subscriptions, iOS lags web subscriptions by a few days",5970,507,2023-04-18 02:07:31+00:00
29,elonmusk,@TimSweeneyEpic @GMatrixGames 💯,1609,73,2023-04-18 02:02:17+00:00
30,elonmusk,@TheRabbitHole84 Population collapse is a massive threat to civilization,90200,9828,2023-04-18 01:52:05+00:00
31,elonmusk,"Canadian Broadcasting Corp said they’re “less than 70% government-funded”, so we corrected the label https://t.co/lU1EWf76Zu",543356,65822,2023-04-18 01:26:28+00:00
32,elonmusk,@alx Fundamentally important,110220,7682,2023-04-18 00:58:23+00:00
33,elonmusk,"@itsALLrisky @TitterDaily @CBC Good point, generosity is always the right move. 69% it is!",16161,1293,2023-04-18 00:46:26+00:00
34,elonmusk,@TitterDaily @CBC Their concern has been addressed https://t.co/pSm6KotlZL,26687,3571,2023-04-18 00:35:03+00:00
35,elonmusk,"Mini Starship with flame!
https://t.co/VGKHyaikTd",75050,7218,2023-04-17 23:59:15+00:00
36,elonmusk,@TitterDaily @CBC Just trying to be accurate. Would they be ok if we said 70% govt funded?,13095,1293,2023-04-17 23:39:58+00:00
37,elonmusk,@Investingcom Was alerted this weekend. Looking into it.,39004,1990,2023-04-17 15:32:09+00:00
38,elonmusk,@__SeriousGemini Fate,44789,1911,2023-04-17 15:19:03+00:00
39,elonmusk,"Learned a lot today, now offloading propellant, retrying in a few days …",100427,6236,2023-04-17 13:29:01+00:00
40,elonmusk,"A pressurant valve appears to be frozen, so unless it starts operating soon, no launch today",91391,7839,2023-04-17 13:11:17+00:00
41,elonmusk,"Cryogenic propellant load of Starship is underway, liftoff in T minus 1 hour",183498,15233,2023-04-17 12:18:42+00:00
42,elonmusk,Starship launch attempt in ~7 hours,245838,17866,2023-04-17 05:46:06+00:00
43,elonmusk,@KobeissiLetter Treasury is (obviously) correct,2314,151,2023-04-17 05:44:50+00:00
44,elonmusk,@TrungTPhan @BillyM2k Same,1719,91,2023-04-17 04:31:29+00:00
45,elonmusk,@johnkrausphotos An implausible rocket on the beach,30199,1493,2023-04-17 01:38:23+00:00
46,elonmusk,@GailAlfarATX @SpaceX Yes,10266,567,2023-04-17 01:30:34+00:00
47,elonmusk,@DurantQuotesBot Low birthrate is under-appreciated as causal in the fall of civilizations. Rome was having birth rate issues even during the reign of Caesar.,47101,5744,2023-04-17 01:29:54+00:00
48,elonmusk,@unusual_whales Thanks for the subtitles 🤣🤣,85730,4720,2023-04-17 01:25:09+00:00
49,elonmusk,@DurantQuotesBot So it goes …,30270,1845,2023-04-17 00:42:16+00:00
50,elonmusk,@WallStreetSilv Exactly,137672,10159,2023-04-17 00:21:15+00:00
51,elonmusk,@waitbutwhy @SpaceX We will try,16912,988,2023-04-16 22:58:28+00:00
52,elonmusk,@GailAlfarATX Yeah,34620,1871,2023-04-16 22:51:20+00:00
53,elonmusk,@robbystarbuck @USNavy !,26416,2349,2023-04-16 16:32:01+00:00
54,elonmusk,"@DrLoupis In any event, good manners require using the person’s name, not their pronoun, when referring to them",16629,1936,2023-04-16 16:30:32+00:00
55,elonmusk,@SawyerMerritt I subscribed,12551,494,2023-04-16 16:18:14+00:00
56,elonmusk,"@alifarhat79 You’re welcome, now if only you were the actual head of the Fed!",28551,1228,2023-04-16 15:53:46+00:00
57,elonmusk,@alifarhat79 🤣🤣,3188,134,2023-04-16 15:52:58+00:00
58,elonmusk,Launch attempt tomorrow https://t.co/czFsQ53Xsa,778591,53960,2023-04-16 15:52:21+00:00
59,elonmusk,@TRHLofficial Absolutely,90841,6464,2023-04-16 15:47:32+00:00
60,elonmusk,@alifarhat79 I subscribed,5874,194,2023-04-16 15:47:02+00:00
61,elonmusk,@stillgray It’s felt like that for a long time,48731,3442,2023-04-16 15:28:10+00:00
62,elonmusk,"@DrLoupis Pronouns are virtue-signaling, so inevitably, as with all virtue-signaling, they will be used as a shield by bad humans",34895,6638,2023-04-16 15:08:17+00:00
63,elonmusk,@dailystoic I mean … one does control what happens a little,23588,1264,2023-04-16 14:40:01+00:00
64,elonmusk,@johnkrausphotos I subscribed!,17372,621,2023-04-16 14:37:11+00:00
